原始位置,回收数据位置,回收元数据位置,文件数,逻辑字节,回收UTC时间,内容核验
F:\Documents\楚物志\artifacts\action-story-v3,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RY45WY2,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IY45WY2,51,11896903,2026-09-17T20:00:49.4710000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-art-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6YXPIQ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6YXPIQ.log,1,18937,2026-09-17T20:00:50.1680000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-art-tests.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R2K5W32.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I2K5W32.log,1,3322,2026-09-17T20:00:50.2390000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-covers-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RYTCHEG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IYTCHEG.log,1,7416,2026-09-17T20:00:50.3150000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-final-clean.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R629P03.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I629P03.log,1,5008,2026-09-17T20:00:50.3890000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-final-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R16OPCP.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I16OPCP.log,1,2436,2026-09-17T20:00:50.4580000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-final-tests.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1JW6B8.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1JW6B8.log,1,16277,2026-09-17T20:00:50.5230000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-followup.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZTZYIA.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZTZYIA.log,1,3195,2026-09-17T20:00:50.5840000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-gut.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1JD6XY.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1JD6XY.log,1,2177,2026-09-17T20:00:50.6640000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-mixed-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R7N6350.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I7N6350.log,1,5250,2026-09-17T20:00:50.7380000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-mixed-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RB5Y8DY.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IB5Y8DY.log,1,3756,2026-09-17T20:00:50.8160000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-render-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R26NXQJ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I26NXQJ.log,1,1216,2026-09-17T20:00:50.8870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\action-story-v3-render.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$ROP929F.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IOP929F.log,1,1216,2026-09-17T20:00:50.9870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\adjust_tutorial_layout.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RG6ZSBL.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IG6ZSBL.py,1,1124,2026-09-17T20:00:51.0650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-0.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RP6GYYB.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IP6GYYB.json,1,266252,2026-09-17T20:00:51.1450000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-0.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R14GLYF.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I14GLYF.log,1,534481,2026-09-17T20:00:51.2180000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-1.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RI9P0CZ.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$II9P0CZ.json,1,392046,2026-09-17T20:00:51.3100000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-1.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RM4GEB0.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IM4GEB0.log,1,1026136,2026-09-17T20:00:51.3900000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-2.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RG2NIPW.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IG2NIPW.json,1,362957,2026-09-17T20:00:51.4780000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-final-2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMCOAKS.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMCOAKS.log,1,746116,2026-09-17T20:00:51.5610000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-pilot.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RECMKBX.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IECMKBX.json,1,27295,2026-09-17T20:00:51.6650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-baseline-pilot.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGWYMDE.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGWYMDE.log,1,51469,2026-09-17T20:00:51.7490000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-beta-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RN8AQ8W.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IN8AQ8W.log,1,0,2026-09-17T20:00:51.8260000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-beta-final2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMEA5AG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMEA5AG.log,1,58,2026-09-17T20:00:51.9180000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-beta.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RSI6XH7.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ISI6XH7.log,1,0,2026-09-17T20:00:52.0410000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-calibration-01-r13.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RD641KK.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ID641KK.json,1,1191633,2026-09-17T20:00:52.1320000Z,SHA-256全部一致
